368.1446 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
368.1446 	EXP 	text: autoDraw = True
368.1613 	EXP 	Instructions_text: autoDraw = True
368.1613 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
368.1613 	EXP 	text: autoDraw = True
368.1780 	EXP 	Instructions_text: autoDraw = True
368.1780 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
368.1780 	EXP 	text: autoDraw = True
368.1946 	EXP 	Instructions_text: autoDraw = True
368.1946 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
368.1946 	EXP 	text: autoDraw = True
368.2113 	EXP 	Instructions_text: autoDraw = True
368.2113 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
368.2113 	EXP 	text: autoDraw = True
368.2279 	EXP 	Instructions_text: autoDraw = True
368.2279 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
368.2279 	EXP 	text: autoDraw = True
368.2447 	EXP 	Instructions_text: autoDraw = True
368.2447 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
368.2447 	EXP 	text: autoDraw = True
368.2613 	EXP 	Instructions_text: autoDraw = True
368.2613 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
368.2613 	EXP 	text: autoDraw = True
368.2780 	EXP 	Instructions_text: autoDraw = True
368.2780 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
368.2780 	EXP 	text: autoDraw = True
368.2946 	EXP 	Instructions_text: autoDraw = True
