1791.1626 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.1626 	EXP 	text: autoDraw = True
1791.1797 	EXP 	Instructions_text: autoDraw = True
1791.1797 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.1797 	EXP 	text: autoDraw = True
1791.1960 	EXP 	Instructions_text: autoDraw = True
1791.1960 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.1960 	EXP 	text: autoDraw = True
1791.2133 	EXP 	Instructions_text: autoDraw = True
1791.2133 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.2133 	EXP 	text: autoDraw = True
1791.2293 	EXP 	Instructions_text: autoDraw = True
1791.2293 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.2293 	EXP 	text: autoDraw = True
1791.2461 	EXP 	Instructions_text: autoDraw = True
1791.2461 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.2461 	EXP 	text: autoDraw = True
1791.2627 	EXP 	Instructions_text: autoDraw = True
1791.2627 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.2627 	EXP 	text: autoDraw = True
1791.2799 	EXP 	Instructions_text: autoDraw = True
1791.2799 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.2799 	EXP 	text: autoDraw = True
1791.2960 	EXP 	Instructions_text: autoDraw = True
1791.2960 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.2960 	EXP 	text: autoDraw = True
1791.3134 	EXP 	Instructions_text: autoDraw = True
1791.3134 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.3134 	EXP 	text: autoDraw = True
1791.3294 	EXP 	Instructions_text: autoDraw = True
1791.3294 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.3294 	EXP 	text: autoDraw = True
1791.3461 	EXP 	Instructions_text: autoDraw = True
1791.3461 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.3461 	EXP 	text: autoDraw = True
1791.3627 	EXP 	Instructions_text: autoDraw = True
1791.3627 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.3627 	EXP 	text: autoDraw = True
1791.3794 	EXP 	Instructions_text: autoDraw = True
1791.3794 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.3794 	EXP 	text: autoDraw = True
1791.3960 	EXP 	Instructions_text: autoDraw = True
1791.3960 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.3960 	EXP 	text: autoDraw = True
1791.4126 	EXP 	Instructions_text: autoDraw = True
1791.4126 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.4126 	EXP 	text: autoDraw = True
1791.4293 	EXP 	Instructions_text: autoDraw = True
1791.4293 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.4293 	EXP 	text: autoDraw = True
1791.4460 	EXP 	Instructions_text: autoDraw = True
1791.4460 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.4460 	EXP 	text: autoDraw = True
1791.4626 	EXP 	Instructions_text: autoDraw = True
1791.4626 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.4626 	EXP 	text: autoDraw = True
1791.4793 	EXP 	Instructions_text: autoDraw = True
1791.4793 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.4793 	EXP 	text: autoDraw = True
1791.4960 	EXP 	Instructions_text: autoDraw = True
1791.4960 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.4960 	EXP 	text: autoDraw = True
1791.5129 	EXP 	Instructions_text: autoDraw = True
1791.5129 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.5129 	EXP 	text: autoDraw = True
1791.5294 	EXP 	Instructions_text: autoDraw = True
1791.5294 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.5294 	EXP 	text: autoDraw = True
1791.5460 	EXP 	Instructions_text: autoDraw = True
1791.5460 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.5460 	EXP 	text: autoDraw = True
1791.5626 	EXP 	Instructions_text: autoDraw = True
1791.5626 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.5626 	EXP 	text: autoDraw = True
1791.5793 	EXP 	Instructions_text: autoDraw = True
1791.5793 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.5793 	EXP 	text: autoDraw = True
1791.5962 	EXP 	Instructions_text: autoDraw = True
1791.5962 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.5962 	EXP 	text: autoDraw = True
1791.6128 	EXP 	Instructions_text: autoDraw = True
1791.6128 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.6128 	EXP 	text: autoDraw = True
1791.6295 	EXP 	Instructions_text: autoDraw = True
1791.6295 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.6295 	EXP 	text: autoDraw = True
1791.6465 	EXP 	Instructions_text: autoDraw = True
1791.6465 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.6465 	EXP 	text: autoDraw = True
1791.6626 	EXP 	Instructions_text: autoDraw = True
1791.6626 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.6626 	EXP 	text: autoDraw = True
1791.6793 	EXP 	Instructions_text: autoDraw = True
1791.6793 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.6793 	EXP 	text: autoDraw = True
1791.6960 	EXP 	Instructions_text: autoDraw = True
1791.6960 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
