4239.0728 	EXP 	text: text = '<<Чтобы перейти к следующему слайду, нажмите стрелку вправо.>>\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 8 из 10>>'
4239.0728 	EXP 	text: autoDraw = True
4239.2453 	DATA 	Keypress: right
4239.2579 	EXP 	Instructions_text: text = 'Если, прочитав весь текст, вы затрудняетесь с уверенностью сказать, есть ли в нем КАЛАМБУР, ИРОНИЯ или МЕТАФОРА или смысл текста прямой, вы сможете указать на это перед переходом к следующему отрывку, нажав "8".'
4239.2579 	EXP 	Instructions_text: autoDraw = True
4239.2579 	EXP 	text: text = '<<Чтобы перейти к следующему слайду, нажмите стрелку вправо.>>\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 9 из 10>>'
4239.2579 	EXP 	text: autoDraw = True
4239.3566 	EXP 	Instructions_text: text = '        Давайте попрактикуемся!\n\n  Чтобы перейти к следующей части эксперимента, нажмите “пробел”.'
4239.3566 	EXP 	Instructions_text: autoDraw = True
4239.3566 	EXP 	text: text = '<<Чтобы перейти к следующему слайду, нажмите стрелку вправо.>>\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.3566 	EXP 	text: autoDraw = True
4239.3570 	DATA 	Keypress: right
4239.3900 	EXP 	Instructions_text: autoDraw = True
4239.3900 	EXP 	text: autoDraw = True
4239.4233 	EXP 	Instructions_text: autoDraw = True
4239.4233 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.4233 	EXP 	text: autoDraw = True
4239.4553 	EXP 	Instructions_text: autoDraw = True
4239.4553 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.4553 	EXP 	text: autoDraw = True
4239.4903 	EXP 	Instructions_text: autoDraw = True
4239.4903 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.4903 	EXP 	text: autoDraw = True
4239.5153 	EXP 	Instructions_text: autoDraw = True
4239.5153 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.5153 	EXP 	text: autoDraw = True
4239.5478 	EXP 	Instructions_text: autoDraw = True
4239.5478 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.5478 	EXP 	text: autoDraw = True
4239.5811 	EXP 	Instructions_text: autoDraw = True
4239.5811 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.5811 	EXP 	text: autoDraw = True
4239.5815 	DATA 	Keypress: right
4239.6253 	EXP 	Instructions_text: autoDraw = True
4239.6253 	EXP 	text: autoDraw = True
4239.6602 	EXP 	Instructions_text: autoDraw = True
4239.6602 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.6602 	EXP 	text: autoDraw = True
4239.6737 	EXP 	Instructions_text: autoDraw = True
4239.6737 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.6737 	EXP 	text: autoDraw = True
4239.6914 	EXP 	Instructions_text: autoDraw = True
4239.6914 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.6914 	EXP 	text: autoDraw = True
4239.7064 	EXP 	Instructions_text: autoDraw = True
4239.7064 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.7064 	EXP 	text: autoDraw = True
4239.7229 	EXP 	Instructions_text: autoDraw = True
4239.7229 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.7229 	EXP 	text: autoDraw = True
4239.7396 	EXP 	Instructions_text: autoDraw = True
4239.7396 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.7396 	EXP 	text: autoDraw = True
4239.7564 	EXP 	Instructions_text: autoDraw = True
4239.7564 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.7564 	EXP 	text: autoDraw = True
4239.7730 	EXP 	Instructions_text: autoDraw = True
4239.7730 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.7730 	EXP 	text: autoDraw = True
4239.7897 	EXP 	Instructions_text: autoDraw = True
4239.7897 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.7897 	EXP 	text: autoDraw = True
4239.8063 	EXP 	Instructions_text: autoDraw = True
4239.8063 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.8063 	EXP 	text: autoDraw = True
4239.8232 	EXP 	Instructions_text: autoDraw = True
4239.8232 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.8232 	EXP 	text: autoDraw = True
4239.8398 	EXP 	Instructions_text: autoDraw = True
4239.8398 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.8398 	EXP 	text: autoDraw = True
4239.8564 	EXP 	Instructions_text: autoDraw = True
4239.8564 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.8564 	EXP 	text: autoDraw = True
4239.8730 	EXP 	Instructions_text: autoDraw = True
4239.8730 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.8730 	EXP 	text: autoDraw = True
4239.8897 	EXP 	Instructions_text: autoDraw = True
4239.8897 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.8897 	EXP 	text: autoDraw = True
4239.9066 	EXP 	Instructions_text: autoDraw = True
